name,ave_retweet,ave_favorite,retweet_count,favorite_count,tweet_count,state,district_N,party
Tracy Mitrano,10.270018621973929,21.666666666666668,5515,11635,537,New York,23,Democratic
Travis Wines,1.548476454293629,6.1024930747922435,559,2203,361,Michigan,05,Republican
Trey Hollingsworth,2.9375,11.6875,47,187,16,Indiana,09,Republican
Troy Balderson,36.06185567010309,86.49828178694158,10494,25171,291,Ohio,12,Republican
Tulsi Gabbard,251.1664275466284,608.0358680057388,175063,423801,697,Hawaii,02,Democratic
Val Demings,0.8,2.8,4,14,5,Florida,10,Democratic
Van Taylor,3.2651006711409396,12.177852348993289,973,3629,298,Texas,03,Republican
Vanessa Adia,11.714046822742475,29.86622073578595,7005,17860,598,Texas,12,Democratic
Vanessa Enoch,7.108374384236453,12.913793103448276,5772,10486,812,Ohio,08,Democratic
Vangie Williams,10.0401376146789,22.950688073394495,8755,20013,872,Virginia,01,Democratic
Veronica Escobar,12.532237673830593,41.33122629582807,9913,32693,791,Texas,16,Democratic
Vickie Yates Glisson,2.8551724137931034,10.717241379310344,414,1554,145,Kentucky,03,Republican
Vicky Hartzler,1.144,3.856,143,482,125,Missouri,04,Republican
Virginia Foxx,1.8846153846153846,3.5,49,91,26,North Carolina,05,Republican
Virginia Fuller,0.7647058823529411,1.3294117647058823,65,113,85,Florida,05,Republican
Walter Jones,0.27586206896551724,1.1551724137931034,16,67,58,North Carolina,03,Republican
Warren Davidson,0.0,1.0,0,1,1,Ohio,08,Republican
Wayne Liebnitzky,4.782608695652174,6.521739130434782,220,300,46,Florida,09,Republican
Wendy Rogers,7.324137931034483,11.332758620689654,4248,6573,580,Arizona,01,Republican
Will Hurd,2.423076923076923,9.288461538461538,126,483,52,Texas,23,Republican
William Devine III,0.0,0.13333333333333333,0,4,30,Maryland,05,Republican
William Tanoos,6.132075471698113,14.537735849056604,1300,3082,212,Indiana,08,Democratic
William Timmons,3.0,11.619047619047619,126,488,42,South Carolina,04,Republican
Xochitl Torres Small,14.654708520179373,42.56502242152467,3268,9492,223,New Mexico,02,Democratic
Young Kim,9.512345679012345,20.11111111111111,1541,3258,162,California,39,Republican
Yvette Clarke,2.1970443349753697,7.266009852216749,446,1475,203,New York,09,Democratic
